2025/8/23 ネットワーク、セキュリティ100語　頻出基礎30語＋混同ペア20語＋補強50語 by claudesonnet4
番号,用語,定義,例,注記
N001,DHCP,IPアドレス自動割当プロトコル,家庭用Wi-Fiルーター設定画面で自動取得,Dynamic Host Configuration Protocol、DNS(N002)との混同
N002,DNS,ドメイン名とIPアドレスを変換,www.example.com → 192.168.1.1,Domain Name System、DHCP(N001)との混同
N003,HTTP,Webページ取得プロトコル,ブラウザでWebサイト閲覧時の通信,HyperText Transfer Protocol、HTTPS(N004)との対比
N004,HTTPS,SSL暗号化HTTP通信,オンラインショッピングサイトのログイン,HTTP Secure、HTTP(N003)との対比
N005,FTP,ファイル転送プロトコル,Webサーバーへのファイルアップロード,File Transfer Protocol、SFTP(N036)との違い
N006,SMTP,メール送信プロトコル,Outlookからメール送信時の通信,Simple Mail Transfer Protocol、POP3(N007)との対比
N007,POP3,メール受信プロトコル,メールソフトでのメール受信,Post Office Protocol、SMTP(N006)との対比
N008,TCP,信頼性のある通信プロトコル,Webページ閲覧、メール送受信,Transmission Control Protocol、UDP(N009)との対比
N009,UDP,高速だが信頼性低い通信プロトコル,動画ストリーミング、オンラインゲーム,User Datagram Protocol、TCP(N008)との対比
N010,IP,インターネット通信の基本プロトコル,192.168.1.1のようなIPアドレス,Internet Protocol、IPv4とIPv6(N011)
N011,IPv6,次世代IPアドレス体系,2001:db8::1のような128ビット,IP version 6、IPv4(N010)との対比
N012,NAT,プライベートIPをグローバルIPに変換,家庭用ルーターでの内部ネットワーク,Network Address Translation、プライベートIP
N013,LAN,狭い範囲のネットワーク,オフィス内、家庭内のネットワーク,Local Area Network、WAN(N014)との対比
N014,WAN,広範囲のネットワーク,インターネット、企業の拠点間接続,Wide Area Network、LAN(N013)との対比
N015,VPN,暗号化されたネットワーク接続,リモートワークでの社内システム接続,Virtual Private Network、セキュリティ技術
N016,SSL/TLS,暗号化通信プロトコル,HTTPSでのWebサイト暗号化通信,Secure Sockets Layer、HTTPS(N004)との関係
N017,MAC,ネットワーク機器固有のアドレス,00:1B:44:11:3A:B7のような48ビット,Media Access Control、物理アドレス
N018,VLAN,論理的に分割されたLAN,部署別ネットワーク分離設定,Virtual LAN、LAN(N013)の仮想分割
N019,スイッチ,レイヤー2でのデータ中継装置,オフィス内のLAN配線集約装置,L2スイッチ、ハブ(N020)との違い
N020,ハブ,単純なデータ中継装置,複数PC接続時の信号分配,リピーターハブ、スイッチ(N019)との違い
N021,ルーター,ネットワーク間の経路制御装置,インターネット接続用家庭用機器,Layer3機器、スイッチ(N019)との違い
N022,ゲートウェイ,異なるネットワーク間の出入口,社内LANからインターネットへの窓口,デフォルトゲートウェイ、ルーター(N021)
N023,プロキシ,代理でWeb接続するサーバー,社内からのWebアクセス中継,Proxyサーバー、キャッシュ機能
N024,ファイアウォール,通信制御によるセキュリティ機器,社内LANを外部攻撃から保護,通信遮断・許可制御、セキュリティ
N025,ポート番号,アプリケーション識別用番号,HTTP:80、HTTPS:443、FTP:21,0-65535の範囲、プロトコル識別
