"番号","表（用語）","定義","例","注記"
"N001","TCP/IP","インターネット通信の標準プロトコル群。信頼性の高いデータ転送を保証します。","Webサイト閲覧、メール送受信など","OSI参照モデル(N027)との関連"
"N002","IP","ネットワーク上の機器を識別する番号(IPアドレス)を定め、通信相手にデータを届けます。","PCやスマホが持つ192.168.1.10など","TCP(N003)やUDP(N004)と組み合わせて使用"
"N003","TCP","データを確実に、順序通りに送るための通信プロトコル。信頼性が高いです。","Webサイト表示(HTTP)、メール送信(SMTP)","UDP(N004)との対比"
"N004","UDP","信頼性より速度を重視するプロトコル。動画配信やオンラインゲーム等で利用されます。","ビデオ会議、DNS(N007)の問い合わせ","TCP(N003)との対比"
"N005","HTTP","Webサーバとブラウザ間で情報をやり取りするためのプロトコル。暗号化はされません。","WebサイトのURLが「http://」で始まる","HTTPS(N006)との違い"
"N006","HTTPS","HTTPをSSL/TLSで暗号化したもの。盗聴や改ざんを防ぎ、安全な通信を実現します。","ネットショッピング、ログインページ","HTTP(N005)との違い、SSL/TLSが必須"
"N007","DNS","ドメイン名(例: example.com)とIPアドレスを対応させ、相互に変換する仕組みです。","ブラウザにURL入力でサイトが表示される","Domain Name Systemの略、DHCP(N012)との混同"
"N008","FTP","ネットワーク経由でコンピュータ間のファイル転送を行うためのプロトコルです。","Webサーバへのファイルアップロード","File Transfer Protocolの略"
"N009","SMTP","電子メールを送信・転送するためのプロトコル。クライアントからサーバ、サーバ間で利用。","OutlookやGmailでのメール送信時","Simple Mail Transfer Protocolの略、POP3(N010)との関係"
"N010","POP3","メールサーバから電子メールを受信するためのプロトコル。メールはPCにダウンロードされます。","PCのメールソフトで受信ボタンを押す","Post Office Protocol 3の略、IMAP(N011)との違い"
"N011","IMAP","メールサーバ上のメールを閲覧・管理するプロトコル。複数端末での利用に便利です。","スマホとPCで同じ受信箱を見る","Internet Message Access Protocolの略、POP3(N010)との違い"
"N012","DHCP","ネットワーク接続時にIPアドレスなどの設定情報を自動で割り当てるプロトコルです。","Wi-Fi接続時に自動でネットが使える","Dynamic Host Configuration Protocolの略、DNS(N007)との混同"
"N013","NTP","ネットワークに接続された機器の時刻を、基準となる時刻サーバと同期させるプロトコルです。","PCやサーバの時刻自動調整","Network Time Protocolの略"
"N014","SSH","ネットワーク経由で他のコンピュータに接続し、遠隔操作するための安全なプロトコルです。","サーバのリモートメンテナンス","Secure Shellの略、Telnetより安全"
"N015","SNMP","ネットワーク機器の状態を監視・制御するためのプロトコル。管理に用いられます。","ルーターやスイッチの死活監視","Simple Network Management Protocolの略"
"N016","IPアドレス","ネットワーク上の機器を識別するための一意の番号。32ビット(IPv4)または128ビット(IPv6)。","192.168.1.1 (IPv4)","MACアドレス(N017)との違い"
"N017","MACアドレス","ネットワーク機器の製造時に割り当てられる物理的な固有番号。48ビットです。","00-1A-2B-3C-4D-5E","IPアドレス(N016)との違い、物理アドレスとも呼ぶ"
"N018","ポート番号","TCP/IP通信で、コンピュータ内のどのプログラムにデータを渡すかを指定する番号です。","HTTPは80番、HTTPSは443番","IPアドレスとセットで通信先を特定"
"N019","LAN","限定された範囲(オフィスや家庭内など)のコンピュータで構成されるネットワークです。","社内ネットワーク、家庭内Wi-Fi","Local Area Networkの略、WAN(N020)との対比"
